Website, Report Type, Average
 www.2021portugal.eu,Old Report,2.64
 www.25hours,hotels.com,2.50
 www.432player.com,Old Report,2.43
 5pillarsuk.com,Old Report,2.26
 www.9voltinteractive.com,Old Report,2.00
 aaai.org,Old Report,1.75
 www.aacai.com.au,Old Report,2.71
 abdou,nassur.org,2.33
 abhisoft.net,Old Report,2.41
 abotx.org,Old Report,2.50
 acid3.acidtests.org,Old Report,2.33
 www.acon.org.au,Old Report,2.42
 actualite.cd,Old Report,2.91
 admission.gatech.edu,Old Report,2.75
 www.adv.aero,Old Report,2.37
 www.afsinc.org,Old Report,2.23
 www.agilesparks.com,Old Report,2.22
 ahotcupofjoe.net,Old Report,2.59
 www.ainmean,aite.scot,2.75
 www.airdrieirish.com,Old Report,3.00
 allaladdin.ga,Old Report,2.17
 allmedia.news,Old Report,2.22
 www.allsummitcounty.com,Old Report,2.61
 alphabank.bg,Old Report,2.17
 amywhitney.co.uk,Old Report,2.80
 podcasters.spotify.com,Old Report,2.33
 andipopp.wordpress.com,Old Report,2.64
 www.andrewforoklahoma.com,Old Report,2.95
 www.funqai.com,Old Report,2.33
 anubis3d.com,Old Report,2.62
 app.agentsuccessapp.com,Old Report,2.46
 app.data4life.care,Old Report,2.33
 www.argentdata.com,Old Report,2.33
 www.artcodes.co.uk,Old Report,2.75
 artsdistrictla.org,Old Report,2.58
 www.ascobans.org,Old Report,2.49
 ascox.xyz,Old Report,2.00
 discussion.fedoraproject.org,Old Report,2.17
 www.askonasholt.com,Old Report,2.65
 asms.advitsahdev.com,Old Report,2.87
 aspen82.com,Old Report,3.18
 aspirebridge.com,Old Report,1.94
 astarmathsandphysics.com,Old Report,2.33
 www.astellas.com,Old Report,2.13
 atlantic.ctvnews.ca,Old Report,2.28
 www.avpgalaxy.net,Old Report,2.33
 awstats.sourceforge.io,Old Report,2.77
 www.bakupages.com,Old Report,2.60
 bankpapua.co.id,Old Report,2.56
 barristerblogger.com,Old Report,2.33
 bcexcelsior.com,Old Report,2.72
 bci.co.ck,Old Report,2.76
 www.begalileo.com,Old Report,1.97
 bekasikota.go.id,Old Report,3.17
 www.benbridge.com,Old Report,2.63
 ad,free.info,2.40
 www.berlinexperiences.com,Old Report,2.00
 bestmodernchairs.com,Old Report,2.93
 biblearchaeology.org,Old Report,2.67
 bigappleshak.com,Old Report,2.72
 bingu.net,Old Report,2.83
 bizhankook.com,Old Report,2.43
 bjri.gov.bd,Old Report,2.43
 blcklst.com,Old Report,2.18
 blog.baeke.info,Old Report,2.98
 www.filmsupply.com,Old Report,2.87
 blog.smile.io,Old Report,2.23
 blog.spreendigital.de,Old Report,2.71
 www.blowball.io,Old Report,2.09
 pbm.ucla.edu,Old Report,2.16
 bobspixels.com,Old Report,2.60
 www.bookup.com,Old Report,2.31
 www.botify.com,Old Report,2.18
 bphn.go.id,Old Report,3.28
 www.bons,plans,2.12
 bramptonmasons.com,Old Report,2.75
 broadstreetmarket.org,Old Report,2.80
 bryanplummer.com,Old Report,2.76
 consent.yahoo.com,Old Report,3.00
 bulgaria.postsen.com,Old Report,2.55
 buy.ticketstothecity.com,Old Report,2.54
 www.camaradellibro.com.uy,Old Report,2.62
 canelatools.com,Old Report,3.22
 www.capecoral.gov,Old Report,1.00
 caracolu.com,Old Report,2.33
 www.carbonrationing.org.uk,Old Report,2.55
 www.catholic,zhodzina.by,2.18
 cayman.loopnews.com,Old Report,2.73
 ceafinney.com,Old Report,2.29
 chargeplacescotland.org,Old Report,2.40
 chateaudeblois.fr,Old Report,2.00
 chennai.consulate.gov.au,Old Report,2.29
 civity.nl,Old Report,2.27
 www.cleanup.org.au,Old Report,2.69
